Index, Title, Author, Author_Link, Author_Image, Author_Born, Author_Web, Author_Bio 
38, World After (Penryn & the End of Days #2), Susan Ee, https://www.goodreads.com/author/show/4890182.Susan_Ee, https://images.gr-assets.com/authors/1370738953p5/4890182.jpg, , http://www.susanee.com," Susan Ee is a USA Today bestselling author of the Penryn & the End of Days trilogy, ANGELFALL, WORLD AFTER, and END OF DAYS. Her books have been translated into over twenty languages, and her short films have played at major festivals. She used to be a lawyer but loves being a writer because it allows her imagination to bust out and go feral.Sign up to hear about her next book at www.susanee.com or follow her on Twitter @Susan_Ee."
39, Hush Hush (Hush Hush #1), Becca Fitzpatrick, https://www.goodreads.com/author/show/2876763.Becca_Fitzpatrick, https://images.gr-assets.com/authors/1390505291p5/2876763.jpg, , http://www.beccafitzpatrick.com," Becca Fitzpatrick grew up reading Nancy Drew and Trixie Belden with a flashlight under the covers. She graduated college with a degree in health, which she promptly abandoned for storytelling. When not writing, she's most likely prowling sale racks for reject shoes, running, or watching crime dramas on TV. She is the author of the bestselling HUSH, HUSH Saga. Her new book BLACK ICE arrives in bookstores everywhere October 7, 2014."
40, The Bone Clocks, David Mitchell, https://www.goodreads.com/author/show/6538289.David_Mitchell, https://images.gr-assets.com/authors/1409248688p5/6538289.jpg," Southport, The United Kingdom", http://www.davidmitchellbooks.com/," David Mitchell was born in Southport, Merseyside, in England, raised in Malvern, Worcestershire, and educated at the University of Kent, studying for a degree in English and American Literature followed by an M.A. in Comparative Literature. He lived for a year in Sicily, then moved to Hiroshima, Japan, where he taught English to technical students for eight years, before returning to England. After another stint in Japan, he currently lives in Ireland with his wife Keiko and their two children. In an essay for Random House, Mitchell wrote: ""I knew I wanted to be a writer since I was a kid, but until I came to Japan to live in 1994 I was too easily distracted to do much about it. I would probably have become a writer wherever I lived, but wo"
41, Dead Heat (Alpha & Omega #4), Patricia Briggs, https://www.goodreads.com/author/show/40563.Patricia_Briggs, https://images.gr-assets.com/authors/1464488194p5/40563.jpg," Butte, Montana, The United States", https://www.patriciabriggs.com," Librarian Note: There is more than one author in the Goodreads database with this name.Patricia Briggs was born in Butte, Montana, to a children’s librarian who passed on to her kids a love of reading and books. Patricia grew up reading fairy tales and books about horses, and later developed an interest in folklore and history. When she decided to write a book of her own, a fantasy book seemed a natural choice. Patricia graduated from Montana State University with degrees in history and German and she worked for a while as a substitute teacher. Currently, she lives in Montana with her husband, children, and six horses and writes full time, much to the delight of her fans."
42, All the Single Ladies (Lowcountry Tales #10), Dorothea Benton Frank, https://www.goodreads.com/author/show/36935.Dorothea_Benton_Frank, https://images.gr-assets.com/authors/1369417602p5/36935.jpg," Sullivan's Island, South Carolina", http://www.dotfrank.com," Dorothea Benton Frank was a New York Times best-selling American novelist of Southern fiction. She worked in the apparel industry from 1972 until 1985 and then organized fundraisers as a volunteer, before becoming a novelist.She is best known as the author of twenty novels placed in and around the Lowcountry of South Carolina. "
43, Red Queen (Red Queen #1), Victoria Aveyard, https://www.goodreads.com/author/show/7074943.Victoria_Aveyard, https://images.gr-assets.com/authors/1395682478p5/7074943.jpg, The United States, http://www.victoriaaveyard.com," I'm an author/screenwriter who likes books and lists. This site is the nexus of my universe.I wrote the #1 NYT bestselling series RED QUEEN and my next series, REALM BREAKER, will be out in May 2021.The genres I'm into include YA, Fantasy, Historical, Adventure, Apocalyptic - if people are dying, I'm buying."
44, Fallen (Fallen #1), Lauren Kate, https://www.goodreads.com/author/show/2905297.Lauren_Kate, https://images.gr-assets.com/authors/1641507837p5/2905297.jpg, The United States, http://laurenkatebooks.net/," Lauren Kate is the author of novels for adults, teens, and children, including the rom-com BY ANY OTHER NAME and the young adult series, FALLEN. She lives in Laurel Canyon with her family. "
45, Defending Jacob, William Landay, https://www.goodreads.com/author/show/218843.William_Landay, https://images.gr-assets.com/authors/1263404060p5/218843.jpg," Boston, The United States", http://www.williamlanday.com," William Landay is the author of All That Is Mine I Carry With Me and three previous novels: Defending Jacob, which won the Strand Critics Award for best mystery novel, The Strangler, listed as a best crime novel of the year by the L.A. Times, Daily Telegraph and others, and Mission Flats, winner of the Dagger Award for best first crime novel. A former assistant district attorney, he lives in Boston."
46, In the Unlikely Event, Judy Blume, https://www.goodreads.com/author/show/12942.Judy_Blume, https://images.gr-assets.com/authors/1430843076p5/12942.jpg," Elizabeth, New Jersey, The United States", http://www.judyblume.com," Judy Blume spent her childhood in Elizabeth, New Jersey, making up stories inside her head. She has spent her adult years in many places doing the same thing, only now she writes her stories down on paper. Adults as well as children will recognize such Blume titles as: Are You There God? It's Me, Margaret, Blubber, Just as Long as We're Together, and the five book series about the irrepressible Fudge. She has also written three novels for adults, Summer Sisters, Smart Women, and Wifey, all of them New York Times bestsellers. More than 80 million copies of her books have been sold, and her work has been translated into thirty-one languages. She receives thousands of letters a year from readers of all ages who share their feelings and concern"
47, Obsession in Death (In Death #40), J.D. Robb, https://www.goodreads.com/author/show/17065.J_D_Robb, https://images.gr-assets.com/authors/1481138127p5/17065.jpg," Silver Spring, Maryland, The United States", http://www.jdrobb.com/," J.D. Robb is the author of the #1 New York Times bestselling In Death series and the pseudonym for #1 New York Times bestselling author Nora Roberts. The futuristic suspense series stars Eve Dallas, a New York City police lieutenant with a dark past. Initially conceived as a trilogy, readers clamored for more of Eve and the mysterious Roarke. Forgotten in Death (St. Martin's Press, September 2021) is the 53rd entry in the series. "
48, Saint Odd (Odd Thomas #7), Dean Koontz, https://www.goodreads.com/author/show/9355.Dean_Koontz, https://images.gr-assets.com/authors/1581963714p5/9355.jpg," Everett, Pennsylvania, The United States", http://www.deankoontz.com," Acknowledged as ""America's most popular suspense novelist"" (Rolling Stone) and as one of today's most celebrated and successful writers, Dean Ray Koontz has earned the devotion of millions of readers around the world and the praise of critics everywhere for tales of character, mystery, and adventure that strike to the core of what it means to be human.Dean, the author of many #1 New York Times bestsellers, lives in Southern California with his wife, Gerda, their golden retriever, Elsa, and the enduring spirit of their goldens, Trixie and Anna. Facebook: Facebook.com/DeanKoontzOfficialTwitter: @DeanKoontzWebsite: DeanKoontz.com "
49, Torment (Fallen #2), Lauren Kate, https://www.goodreads.com/author/show/2905297.Lauren_Kate, https://images.gr-assets.com/authors/1641507837p5/2905297.jpg, The United States, http://laurenkatebooks.net/," Lauren Kate is the author of novels for adults, teens, and children, including the rom-com BY ANY OTHER NAME and the young adult series, FALLEN. She lives in Laurel Canyon with her family. "
50, Our Souls at Night, Kent Haruf, https://www.goodreads.com/author/show/16266.Kent_Haruf, https://images.gr-assets.com/authors/1594045311p5/16266.jpg," Pueblo, Colorado, The United States",," Kent Haruf was born in eastern Colorado. He received his Bachelors of Arts in literature from Nebraska Wesleyan University in 1965 and his Masters of Fine Arts from the Iowa Writers' Workshop at the University of Iowa in 1973. For two years, he taught English in Turkey with the Peace Corps and his other jobs have included a chicken farm in Colorado, a construction site in Wyoming, a rehabilitation hospital in Colorado, a hospital in Arizona, a library in Iowa, an alternative high school in Wisconsin, and universities in Nebraska and Illinois.Haruf is the author of Plainsong, which received the Mountains and Plains Booksellers Award, the Los Angeles Times Book Prize, the Maria Thomas Award in Fiction, and The New Yorker Book Award. Plainsong"
51, Rain on the Dead (Sean Dillon #21), Jack Higgins, https://www.goodreads.com/author/show/19706.Jack_Higgins, https://images.gr-assets.com/authors/1337532450p5/19706.jpg," Newcastle upon Tyne, England, The United Kingdom", http://jackhiggins.co.za/," There is more than one author in the Goodreads database with this name.Jack Higgins is the best known of the many pseudonyms of Henry Patterson. (See also Martin Fallon, Harry Patterson, Hugh Marlowe and James Graham.)He is the New York Times bestselling author of more than seventy thrillers, including The Eagle Has Landed and The Wolf at the Door. His books have sold more than 250 million copies worldwide.Born in Newcastle upon Tyne, England, Patterson grew up in Belfast, Northern Ireland. As a child, Patterson was a voracious reader and later credited his passion for reading with fueling his creative drive to be an author. His upbringing in Belfast also exposed him to the political and religious violence that characterized the city at the"
52, Full Force and Effect (Jack Ryan #10), Mark Greaney, https://www.goodreads.com/author/show/2961590.Mark_Greaney, https://images.gr-assets.com/authors/1446347246p5/2961590.jpg," Memphis, TN , The United States", http://www.markgreaneybooks.com/," Mark Greaney has a degree in International Relations and Political Science. In researching The Gray Man series he traveled to ten countries and trained extensively in the use of firearms, battlefield medicine, and close range combative tactics.Learn more at MARKGREANEYBOOKS.COMEmail Mark at MarkGreaneyBooks@gmail.com"
53, Burned (Fever #7), Karen Marie Moning, https://www.goodreads.com/author/show/48206.Karen_Marie_Moning, https://images.gr-assets.com/authors/1497612477p5/48206.jpg," Cincinnati, Ohio, The United States", http://www.karenmoning.com," “The only other calling I ever felt was an irrepressible desire to be Captain of my own Starship. I was born in the wrong century and it wasn’t possible, so I chose to explore the universe by writing fiction instead. Books are doors to endless adventure.” -KMMKaren Marie Moning is the #1 NYT bestselling author of the Fever Series and Highlander novels.An alum of the Immaculate Conception Academy, at seventeen she attended Purdue University where she completed a BA in Society & Law, with minors in Philosophy, Creative Writing and Theatre, while working full time as a bartender and computer consultant. She intended to go to law school but after an internship with a firm of Criminal Attorneys, decided against it. For the next decade, she worke"
54, Hope to Die (Alex Cross #22), James Patterson, https://www.goodreads.com/author/show/3780.James_Patterson, https://images.gr-assets.com/authors/1468347205p5/3780.jpg," Newburgh, New York, The United States", http://www.jamespatterson.com/," Official US SiteOfficial UK SiteJIMMY Patterson BooksReadKiddoReadJames Patterson is the world’s bestselling author. Among his creations are Alex Cross, the Women’s Murder Club, Michael Bennett, and Maximum Ride. His #1 bestselling nonfiction includes Walk in My Combat Boots, Filthy Rich, and his autobiography, James Patterson by James Patterson. He has collaborated on novels with Bill Clinton and Dolly Parton and has won an Edgar Award, nine Emmy Awards, and the National Humanities Medal. "
55, Mightier Than the Sword (The Clifton Chronicles #5), Jeffrey Archer, https://www.goodreads.com/author/show/4820.Jeffrey_Archer, https://images.gr-assets.com/authors/1208462800p5/4820.jpg," London, England, The United Kingdom", http://www.jeffreyarcher.co.uk/," Jeffrey Howard Archer, Baron Archer of Weston-super-Mare (born 15 April 1940) is an English author and former politician.He was a Member of Parliament and deputy chairman of the Conservative Party, and became a life peer in 1992. His political career, having suffered several controversies, ended after a conviction for perverting the course of justice and his subsequent imprisonment. He is married to Mary Archer, a scientist specialising in solar power. Outside politics, he is a novelist, playwright and short story writer.Wikipedia linkhttp://us.macmillan.com/author/jeffre..."
56, Dreaming Spies (Mary Russell and Sherlock Holmes #13), Laurie R. King, https://www.goodreads.com/author/show/6760.Laurie_R_King, https://images.gr-assets.com/authors/1391224846p5/6760.jpg," Oakland, California, The United States", http://laurierking.com/," Edgar-winning mystery writer Laurie R. King writes series and standalone novels. Her official forum is  THE LRK VIRTUAL BOOK CLUB here on Goodreads--please join us for book-discussing fun. King's 2018 novel, Island of the Mad, sees Mary Russell and Sherlock Holmes travel from London's Bedlam to the glitter of Venice's Lido,where Young Things and the friends of Cole Porter pass Mussolini's Blackshirts in the streets. The Mary Russell/Sherlock Holmes series follows a brilliant young woman who becomes the student, then partner, of the great detective. [click here for an excerpt of the first in the series, The Beekeeper's Apprentice] The Stuyvesant and Grey series (Touchstone, The Bones of Paris) takes place in Europe between the Wars. The Kate"
57, Pope Joan, Donna Woolfolk Cross, https://www.goodreads.com/author/show/44605.Donna_Woolfolk_Cross, https://images.gr-assets.com/authors/1322494590p5/44605.jpg," New York, The United States", http://www.popejoan.com," Donna Woolfolk Cross graduated cum laude, Phi Beta Kappa, from the University of Pennsylvania in 1969 with a B.A. in English. She moved to London, England, after graduation, and worked as an editorial assistant for a small publishing house on Fleet Street, W.H. Allen and Company. Upon her return to the United States, Cross worked at Young and Rubicam, a Madison Avenue advertising firm, before going on to graduate school at UCLA where she earned a master's degree in Literature and Writing in 1972.In 1973, Cross moved with her husband to upstate New York where she began teaching writing in a college English Department. Now writing is her fulltime career.She is the author of two books on language, Word Abuse: How the Words We Use Use Us and Me"
58, Funny Girl, Nick Hornby, https://www.goodreads.com/author/show/2929.Nick_Hornby, https://images.gr-assets.com/authors/1422915487p5/2929.jpg," Redhill, Surrey, England, The United Kingdom", http://www.nickhornby.co.uk," Nick Hornby is the author of the novels A Long Way Down, Slam, How to Be Good, High Fidelity, and About a Boy, and the memoir Fever Pitch. He is also the author of Songbook, a finalist for a National Book Critics Circle Award, Shakespeare Wrote for Money, and The Polysyllabic Spree, as well as the editor of the short-story collection Speaking with the Angel. He is a recipient of the American Academy of Arts and Letters’ E. M. Forster Award and the winner of the 2003 Orange Word International Writers’ London Award. Among his many other honors and awards, four of his titles have been named New York Times Notable Books. A film written by Hornby, An Education – shown at the Sundance Film Festival to great acclaim – was the lead movie at the 200"
59, The Buried Giant, Kazuo Ishiguro, https://www.goodreads.com/author/show/4280.Kazuo_Ishiguro, https://images.gr-assets.com/authors/1424906625p5/4280.jpg," Nagasaki, Japan",," Sir Kazuo Ishiguro (カズオ・イシグロ or 石黒 一雄), OBE, FRSA, FRSL is a British novelist of Japanese origin and Nobel Laureate in Literature (2017). His family moved to England in 1960. Ishiguro obtained his Bachelor's degree from the University of Kent in 1978 and his Master's from the University of East Anglia's creative writing course in 1980. He became a British citizen in 1982. He now lives in London.His first novel, A Pale View of Hills, won the 1982 Winifred Holtby Memorial Prize. His second novel, An Artist of the Floating World, won the 1986 Whitbread Prize. Ishiguro received the 1989 Man Booker prize for his third novel The Remains of the Day. His fourth novel, The Unconsoled, won the 1995 Cheltenham Prize. His latest novel is The Buried Gia"
60, Private Vegas (Private #9), James Patterson, https://www.goodreads.com/author/show/3780.James_Patterson, https://images.gr-assets.com/authors/1468347205p5/3780.jpg," Newburgh, New York, The United States", http://www.jamespatterson.com/," Official US SiteOfficial UK SiteJIMMY Patterson BooksReadKiddoReadJames Patterson is the world’s bestselling author. Among his creations are Alex Cross, the Women’s Murder Club, Michael Bennett, and Maximum Ride. His #1 bestselling nonfiction includes Walk in My Combat Boots, Filthy Rich, and his autobiography, James Patterson by James Patterson. He has collaborated on novels with Bill Clinton and Dolly Parton and has won an Edgar Award, nine Emmy Awards, and the National Humanities Medal. "
61, Crash & Burn (Tessa Leoni #3), Lisa Gardner, https://www.goodreads.com/author/show/18282.Lisa_Gardner, https://images.gr-assets.com/authors/1395879573p5/18282.jpg, The United States, http://www.lisagardner.com/," Lisa Gardner is a #1 New York Times bestselling crime novelist. A self-described research junkie, she has parlayed her interest in police procedure and twisted minds into a streak of twenty-plus thrillers. Her latest, BEFORE SHE DISAPPEARED, is available January 19, 2021.Meet Frankie Elkin, an everyday, average person who specializes in finding missing people. When the locals have given up, when the media has never bothered to care, Frankie takes on the challenge. Her latest mission has brought her to Mattapan, Boston, to find a missing Haitian teen. Eleven months later, Angelique Badeau's disappearance remains a mystery. What happened to the quiet, studious teen? Frankie learns quickly the dangers of asking too many questions, but that won"
62, Four: A Divergent Story Collection (Divergent #0.1-0.4), Veronica Roth, https://www.goodreads.com/author/show/4039811.Veronica_Roth, https://images.gr-assets.com/authors/1588707274p5/4039811.jpg, The United States, http://veronicarothbooks.com," Veronica Roth is the New York Times best-selling author of Poster Girl, Chosen Ones, the short story collection The End and Other Beginnings, the Divergent series, and the Carve the Mark duology. She is also the guest editor of The Best American Science Fiction and Fantasy 2021. Her new novella, Arch-Conspirator, will be released in February. Veronica lives in Chicago, Illinois.Sign up for Veronica's newsletter to hear news, writing thoughts, book recommendations, etc.! "
63, Last to Die (Rizzoli & Isles #10), Tess Gerritsen, https://www.goodreads.com/author/show/18149.Tess_Gerritsen, https://images.gr-assets.com/authors/1416348007p5/18149.jpg, The United States, http://www.tessgerritsen.com/," Internationally bestselling author Tess Gerritsen took an unusual route to a writing career. A graduate of Stanford University, Tess went on to medical school at the University of California, San Francisco, where she was awarded her M.D.While on maternity leave from her work as a physician, she began to write fiction. In 1987, her first novel was published. Call After Midnight, a romantic thriller, was followed by eight more romantic suspense novels. She also wrote a screenplay, ""Adrift"", which aired as a 1993 CBS Movie of the Week starring Kate Jackson.Tess's first medical thriller, Harvest, was released in hardcover in 1996, and it marked her debut on the New York Times bestseller list. Her suspense novels since then have been: Life Suppo"
64, Cold Cold Heart, Tami Hoag, https://www.goodreads.com/author/show/9890.Tami_Hoag, https://images.gr-assets.com/authors/1418152482p5/9890.jpg," Cresco, Iowa, The United States", http://www.tamihoag.com," Tami Hoag is the #1 internationally bestselling author of more than thirty books published in more than thirty languages worldwide, including her latest thrillers—BITTER SEASON, COLD COLD HEART and THE 9TH GIRL. Renowned for combining thrilling plots with character-driven suspense, Hoag first hit the New York Times Bestseller list with NIGHT SINS, and each of her books since has been a bestseller. She leads a double life in Palm Beach County, Florida where she is also known as a top competitive equestrian in the Olympic discipline of dressage. Other interests include the study of psychology, and mixed martial arts fighting. Visit her at www.tamihoag.com, Facebook.com/TamiHoag and on Twitter @TamiHoag"
65, Somewhere Safe with Somebody Good (Mitford Years #12), Jan Karon, https://www.goodreads.com/author/show/40552.Jan_Karon, https://images.gr-assets.com/authors/1596307533p5/40552.jpg," Lenoir, North Carolina, The United States", http://www.mitfordbooks.com/," Born Janice Meredith Wilson in 1937, Jan Karon was raised on a farm near Lenoir, North Carolina. Karon knew at a very early age that she wanted to be a writer. She penned her first novel when she was 10 years old, the same year she won a short-story contest organized by the local high school. Karon married as a teenager and had a daughter, Candace. At 18, Karon began working as a receptionist for a Charlotte, N.C. advertising agency. She advanced in the company after leaving samples of her writing on the desk of her boss, who eventually noticed her talent. Karon went on to have a highly successful career in the field, winning awards for ad agencies from Charlotte to San Francisco. In time, she became a creative vice president at the high-pr"
66, The Accidental Empress (Sisi #1), Allison Pataki, https://www.goodreads.com/author/show/7155436.Allison_Pataki, https://images.gr-assets.com/authors/1560971817p5/7155436.jpg, , http://www.AllisonPataki.com," ALLISON PATAKI is the NYTimes Bestselling author of THE TRAITOR'S WIFE, THE ACCIDENTAL EMPRESS, SISI:EMPRESS ON HER OWN, WHERE THE LIGHT FALLS, and the memoir, BEAUTY IN THE BROKEN PLACES. Her work has been translated into more than a dozen languages, has been featured on The TODAY Show, The NY Times, The Huffington Post, USA Today, FOX News, Morning Joe, and more.Visit AllisonPataki.com to connect and find out more. "
67, What She Left Behind, Ellen Marie Wiseman, https://www.goodreads.com/author/show/5416814.Ellen_Marie_Wiseman, https://images.gr-assets.com/authors/1562037699p5/5416814.jpg, The United States, http://www.ellenmariewiseman.com," A first-generation German American, Ellen Marie Wiseman discovered her love of reading and writing while attending first grade in one of the last one-room schoolhouses in NYS. She is a New York Times Bestselling author whose novels have been translated into twenty languages. Her debut novel, THE PLUM TREE, is loosely based on her mother’s stories about growing up in Germany during the chaos of WWII. THE PLUM TREE received much praise for its depiction of WWII and was named by Bookbub as One of Thirteen Books To Read if You Loved ALL THE LIGHT WE CANNOT SEE. Ellen’s second novel, WHAT SHE LEFT BEHIND, was named a Huffington Post Best Books of Summer 2015. Her third novel, COAL RIVER, was called ""one of the most ""unputdownable"" books of 2015"""
68, Trigger Warning: Short Fictions and Disturbances, Neil Gaiman, https://www.goodreads.com/author/show/1221698.Neil_Gaiman, https://images.gr-assets.com/authors/1234150163p5/1221698.jpg, ,,
69, Seveneves, Neal Stephenson, https://www.goodreads.com/author/show/545.Neal_Stephenson, https://images.gr-assets.com/authors/1430920344p5/545.jpg," Fort Meade, MD, The United States", http://www.nealstephenson.com/," Neal Stephenson is the author of Reamde, Anathem, and the three-volume historical epic the Baroque Cycle (Quicksilver, The Confusion, and The System of the World), as well as Cryptonomicon, The Diamond Age, Snow Crash, and Zodiac. He lives in Seattle, Washington."
70, A Knight of the Seven Kingdoms (The Tales of Dunk and Egg #1-3), George R.R. Martin, https://www.goodreads.com/author/show/346732.George_R_R_Martin, https://images.gr-assets.com/authors/1649011787p5/346732.jpg," Bayonne, New Jersey, The United States", http://www.georgerrmartin.com/," George Raymond Richard ""R.R."" Martin was born September 20, 1948, in Bayonne, New Jersey. His father was Raymond Collins Martin, a longshoreman, and his mother was Margaret Brady Martin. He has two sisters, Darleen Martin Lapinski and Janet Martin Patten. Martin attended Mary Jane Donohoe School and Marist High School. He began writing very young, selling monster stories to other neighborhood children for pennies, dramatic readings included. Later he became a comic book fan and collector in high school, and began to write fiction for comic fanzines (amateur fan magazines). Martin's first professional sale was made in 1970 at age 21: The Hero, sold to Galaxy, published in February, 1971 issue. Other sales followed. In 1970 Martin received a "
